HOUR,TOTALLOAD,NGPRICE,WIND,PRICE
3117,76.95812182789273,2.775,0.3962130878600073,44.16661676646707
3118,71.70166134021434,2.7737499999999997,0.4113880787458986,36.44251497005989
3119,66.84879698829661,2.7725,0.4353012212905577,30.741392215568865
3120,63.45577796245174,2.77125,0.4566624134159678,28.350598802395208
3121,61.29167402642989,2.77,0.4679753007655851,25.434356287425157
3122,59.95085441683823,2.76875,0.473597566532993,23.64782934131737
3123,59.6525965025788,2.7675,0.4818857090776522,23.64782934131737
3124,60.93848116610221,2.76625,0.4786103262850893,26.800523952095823
3125,64.46532320029851,2.7649999999999997,0.4684253098796936,34.20935628742515
3126,68.37069845715025,2.76375,0.4847110827561064,40.56729041916169
3127,71.54545742790916,2.7624999999999997,0.484221199416697,42.53772455089821
3128,73.92486196064294,2.76125,0.495209396646008,45.401422155688635
3129,76.06149842363068,2.76,0.4856965457528253,50.83982035928144
3130,77.82052649470486,2.75875,0.4698550856726212,52.94161676646707
3131,79.5111170908792,2.7575,0.4543838862559241,58.852919161676645
3132,80.89614360993318,2.75625,0.4383658403208166,65.10576347305388
3133,82.02120020744198,2.755,0.4267510481224936,71.14842814371256
3134,82.47094539722292,2.75375,0.4087848614655486,78.18944610778442
3135,82.80943344875456,2.7525,0.4118039099526066,82.73458083832335
3136,82.83024214044707,2.75125,0.4173863014947138,84.07447604790417
3137,81.77880206999271,2.75,0.4290751458257382,75.14184131736526
3138,80.1540594226409,2.75125,0.4535807054320087,63.50314371257485
3139,78.28321931487227,2.7525,0.4500774699234414,60.90217065868266
3140,77.78399568040021,2.75375,0.4499749362012394,60.16654191616767
3141,75.1282517219898,2.755,0.4540591961356179,44.455613772455095
3142,70.51667571063109,2.75625,0.4587586584032082,38.46549401197605
3143,66.45759358447728,2.7575,0.4428317535545023,35.07634730538923
3144,62.967097398437225,2.75875,0.3555812522785271,33.05336826347306
3145,60.86310746063821,2.76,0.3521862468100619,29.58540419161677
3146,59.56492254824767,2.76125,0.3510754648195406,28.95486526946108
3147,58.71167370578024,2.7624999999999997,0.3539236237695953,27.85142215568863
3148,58.806376373749735,2.76375,0.3571933102442581,29.532859281437137
3149,59.88176956041906,2.7649999999999997,0.3516223113379511,30.16339820359282
3150,61.10448828427141,2.76625,0.3509843237331388,31.84483532934133
3151,64.13025702251188,2.7675,0.3374441760845789,38.80703592814371
3152,67.42838841423887,2.76875,0.3170000911410864,42.61654191616767
3153,70.34243759885906,2.77,0.3029017043383157,49.053293413173655
3154,72.41988489436586,2.77125,0.2849583029529712,54.754416167664665
3155,73.70595452403767,2.7725,0.2865874498724024,59.66736526946107
3156,74.66981312323509,2.7737499999999997,0.2818367207437113,66.62956586826347
3157,75.36001430590736,2.775,0.27656762668611,71.80523952095807
3158,75.9196293878248,2.7762499999999997,0.2579463634706526,75.64101796407184
3159,76.42486442211914,2.7775,0.2540956525701786,77.58517964071855
3160,76.82198674268658,2.7787499999999996,0.2461094148742252,83.12866766467064
3161,76.51854977627256,2.78,0.2441726667881881,75.87747005988024
3162,75.49485462807488,2.78125,0.2460923259205249,66.83974550898205
3163,74.20416084469363,2.7825,0.2425264309150565,62.16324850299401
3164,74.11324998276588,2.78375,0.2426118756835581,62.68869760479041
3165,71.88570265785039,2.7849999999999997,0.2394333302952971,46.76758982035928
3166,67.98125223174053,2.78625,0.2218374043018592,41.749550898203594
3167,64.01012150914042,2.7874999999999996,0.1994736602260299,39.62148203592815
3168,60.81714337276629,2.78875,0.158129784907036,35.260254491017974
3169,58.71833248712184,2.79,0.1474662777980313,31.52956586826348
3170,57.4226446177344,2.79125,0.1240999817717827,30.42612275449103
3171,56.5617196801093,2.7925,0.1121775884068538,29.84812874251497
3172,56.469329088994506,2.7937499999999997,0.1079224389354721,29.61167664670659
3173,56.762222984950974,2.795,0.103074872402479,31.10920658682636
3174,57.65690424465506,2.79625,0.0960171345242435,31.18802395209581
3175,60.63976083647185,2.7975,0.0812636711629602,36.10097305389223
3176,64.42851493677131,2.79875,0.0612638990156762,41.32919161676648
3177,67.799430507885,2.8,0.0488516223113379,47.240494011976054
3178,70.31145576900576,2.80125,0.0451490156762668,51.68053892215569
3179,72.33193349081216,2.8025,0.0424432646737149,59.53600299401197
3180,73.96176270724435,2.80375,0.0431154301859278,63.50314371257485
3181,75.08182521874693,2.805,0.0449040740065621,69.99244011976047
3182,76.0671398911562,2.80625,0.0419875592417061,77.24363772455088
3183,77.16112217573752,2.8075,0.0435996172074371,83.10239520958083
3184,78.05016196791607,2.80875,0.0436110098432373,88.19925149700597
3185,78.55659928217486,2.81,0.0427964363835216,85.41437125748502
3186,78.24881561127395,2.81125,0.0435882245716368,78.45217065868262
3187,77.38363645223616,2.8125,0.0485269321910317,74.012125748503
3188,77.70621741500729,2.81375,0.0644139628144367,77.40127245508981
3189,75.2834383204789,2.815,0.0770142180094786,54.9120508982036
3190,70.61396790467788,2.81625,0.0831149744804957,45.58532934131737
3191,66.14620307368303,2.8175,0.0865783357637623,40.22574850299402
3192,62.88090317329312,2.81875,0.0788940029165147,34.130538922155694
3193,60.7230880863161,2.82,0.0835820725483047,31.555838323353303
3194,59.65777555473338,2.82125,0.0837814436748086,30.137125748503006
3195,59.66498923452012,2.8225,0.084220060153117,30.399850299401205
3196,61.370747054861454,2.82375,0.0820440667152752,33.15845808383234
3197,65.01735467013246,2.825,0.0754477305869485,42.458907185628746
3198,69.84756066887391,2.82625,0.0719501913962814,46.08450598802395
3199,73.61569104362923,2.8275,0.063753189938024,50.44573353293413
3200,76.6624534397106,2.82875,0.055994804958075,57.35538922155689
3201,79.54995998203856,2.83,0.0505548213634706,63.97604790419162
3202,82.37679762769856,2.83125,0.0470686748086037,69.51953592814371
3203,85.14481603817438,2.8325,0.0390767407947502,80.29124251497005
3204,87.51487978041509,2.83375,0.0365077014218009,93.6376497005988
3205,89.63875357916474,2.835,0.0348329839591687,106.16961077844311
3206,91.02849673500236,2.8362499999999997,0.0388261028071454,114.65561377245508
